date	type	time
2021-01-04	all	09:00-12:00 13:00-22:00
2021-01-05	all	09:00-12:00 13:00-22:00
2021-01-06	all	09:00-12:00 13:00-22:30
2021-01-07	all	09:00-12:00 13:00-18:00
2021-01-08	all	09:00-12:00 13:00-18:00
2021-01-12	all	09:00-12:00 13:00-18:00
2021-01-13	all	09:00-12:00 13:00-18:00
2021-01-14	all	09:00-12:00 13:00-18:00
2021-01-15	all	09:00-12:00 13:00-18:00
2021-01-18	all	09:00-12:00 13:00-18:00
2021-01-19	all	09:00-12:00 13:00-18:00
2021-01-20	all	09:00-12:00 13:00-18:00
2021-01-21	all	09:00-12:00 13:00-18:00
2021-01-22	all	09:00-12:00 13:00-18:00
2021-01-25	all	09:00-12:00 13:00-18:00
2021-01-26	all	09:00-12:00 13:00-18:00
2021-01-27	all	09:00-12:00 13:00-18:00
2021-01-28	all	09:00-12:00 13:00-18:00
2021-01-29	all	09:00-12:00 13:00-18:00
